Date,Open,High,Low,Close,Adj Close,Volume
2022-06-17,0.8338712276906419,0.8905675422663847,0.8232772967345638,0.857012181001998,0.857012181001998,45989503.79933858
2022-06-18,0.8569799958204853,0.8689205017917563,0.7337414458141769,0.7961161270854152,0.7961161270854152,58403743.50701465
2022-06-19,0.7963030527785097,0.8646858350137547,0.7599923318625386,0.853733050589761,0.853733050589761,60907225.26360795
2022-06-20,0.8536759318196977,0.8883724012657105,0.8065303019760269,0.8671775331742454,0.8671775331742454,53099144.3623552
2022-06-21,0.8671375838193051,0.9652194602880869,0.8505440664938232,0.9113811724464402,0.9113811724464402,80647207.33909331
2022-06-22,0.9115591847902081,1.0160000483810023,0.863472699357871,0.9362649431396154,0.9362649431396154,96345709.11194581
2022-06-23,0.936449194489784,1.029725676208457,0.9323495104926653,1.0118644143253042,1.0118644143253042,61175329.031117246
2022-06-24,1.011572874909347,1.1263089065567888,1.0103674514783734,1.097922481755844,1.097922481755844,87351000.06522144
2022-06-25,1.097674970168318,1.3293677721339032,1.0768421560695187,1.2768024344238103,1.2768024344238103,167582002.1099571
2022-06-26,1.2769057553313046,1.3493268851687938,1.1678653235729444,1.1775011147297032,1.1775011147297032,130008443.37044565
2022-06-27,1.176876083740641,1.26331937658658,1.1439249055302925,1.185854770128233,1.185854770128233,86633678.97558437
2022-06-28,1.1862770787265144,1.231599956951028,1.0698958050283656,1.0816039968491318,1.0816039968491318,84218047.83088335
2022-06-29,1.0814880748537694,1.1011020013208541,1.0213585400513285,1.0603835052178519,1.0603835052178519,76575396.82492328
2022-06-30,1.0604518335921926,1.136545272495544,0.9544033798991961,1.1218924400966872,1.1218924400966872,96639507.44304535
2022-07-01,1.1216979711573536,1.1719241628386083,1.0556108307759564,1.0670552583699016,1.0670552583699016,129176405.76190512
2022-07-02,1.0672291182345732,1.0790113454524057,1.0040108206549068,1.0415740771378335,1.0415740771378335,51671968.229632646
2022-07-03,1.041640951197444,1.0533549950990386,1.00480477504781,1.0424252490608754,1.0424252490608754,36930857.77065167
2022-07-04,1.0422800437988025,1.2249084329392015,1.0339017316285846,1.200717719885575,1.200717719885575,65673446.48308668
2022-07-05,1.2019162412293036,1.2286859470880631,1.104495610374196,1.1834494517737404,1.1834494517737404,63619944.47589363
2022-07-06,1.1834969517421385,1.2835775927151496,1.1445566202691804,1.2610005942923481,1.2610005942923481,83010155.37543279
2022-07-07,1.2613052328033871,1.315716823093174,1.2296694758362587,1.2811362617662576,1.2811362617662576,62776600.35767674
2022-07-08,1.2815944631559697,1.3131780344846324,1.1641590826367703,1.2200794929053063,1.2200794929053063,61053691.041632816
2022-07-09,1.2199844486865017,1.2450387455175915,1.1743601802980224,1.2251467490260428,1.2251467490260428,28520529.41680766
2022-07-10,1.2252620739514037,1.2265813971708357,1.133090858830336,1.1627330370985216,1.1627330370985216,30685166.822387643
2022-07-11,1.1631600573850926,1.1663956510618536,1.0828430737410655,1.094642128192544,1.094642128192544,46848675.5472851
2022-07-12,1.094325813989979,1.1528843911827324,1.079005101979313,1.0872484509767582,1.0872484509767582,47741772.10476054
2022-07-13,1.0872217546053329,1.172684515481851,1.0459553873241558,1.1691017610595917,1.1691017610595917,56744624.60264865
2022-07-14,1.1686280207811253,1.2180920391381835,1.1039399673788102,1.203404602569888,1.203404602569888,63684444.01531286
2022-07-15,1.2040173772562197,1.2314352782094973,1.1529477375630153,1.1966464058125554,1.1966464058125554,52943543.93736695
2022-07-16,1.2067001197260006,1.2688076200258336,1.1793198235102549,1.2528105192409535,1.2528105192409535,50810542.18320386
2022-07-17,1.2521756488304625,1.2657733207805455,1.1641683634586022,1.1802505299381352,1.1802505299381352,42289456.684365936
